id;course_title;course_description;course_objectives;course_sub_title;course_preview_url;course_length;course_logo;course_created_on;course_updated_on;course_root_dir;amount;is_draft;is_approved;is_published;course_approval_date
1;Dollar Peru Innovative;infomediaries Specialist;FantasticX;open-source;Sausages niches synthesizing;87978;TastyXXXXX;2022-01-25;2022-01-25;Zloty Iraq;22624;true;false;false;2022-01-26
2;Refined users;Harbors Toys;indexingXX;override EXE Executive;Concrete Table Gorgeous;66493;exudingXXX;2022-01-26;2022-01-26;Dinar Games Kids;67502;false;false;true;2022-01-26
3;Prairie moratorium Buckinghamshire;one-to-one;payment structure Zealand;blueXXXXXX;PlasticXXX;21714;withdrawal motivating Customer;2022-01-25;2022-01-26;Rubber U.S. Credit;5466;false;true;false;2022-01-26
4;Shoes matrices SMS;matrixXXXX;Regional pink;neuralXXXX;Data JBODX;48348;driver Plastic;2022-01-26;2022-01-26;FrenchXXXX;78555;true;false;true;2022-01-26
5;generating IB;emulation CSS Mouse;administration Chicken Regional;Mexico web-readiness;orange Buckinghamshire;5053;Turnpike granular;2022-01-26;2022-01-26;eco-centric adapter;50855;true;true;false;2022-01-26
6;Strategist;Maine Account CSS;Hollow challenge drive;LicensedXX;tan FreshX;71394;functionalities ability Gorgeous;2022-01-26;2022-01-26;Lesotho Wooden convergence;85235;false;true;false;2022-01-26
7;protocol Movies primary;applications;blue TunaX;Ergonomic deposit Borders;even-keeled paradigm Diverse;58914;Handmade copying Cape;2022-01-26;2022-01-26;Automotive seamless Oregon;65500;true;false;true;2022-01-26
8;SaladXXXXX;Islands Forward Cheese;RubberXXXX;scale Avon Pants;Alabama Estates Pants;90982;UnderpassX;2022-01-26;2022-01-26;clicks-and-mortar mesh;92881;true;false;true;2022-01-25
9;wireless Senior Orchestrator;Chicken invoice;Coordinator;Walk Boliviano;moderator Account teal;95111;calculating payment Alaska;2022-01-26;2022-01-26;Table local;6657;false;false;false;2022-01-25
10;Account bypassing;ArkansasXX;National parsing;green reboot synthesize;Architect back-end Small;37635;Diverse Infrastructure HTTP;2022-01-26;2022-01-26;Customer Granite Run;80565;false;false;false;2022-01-25
